  cell  ,E,W,N,S
"(4, 6)",1,1,0,1
"(5, 6)",0,1,1,1
"(6, 6)",0,0,1,1
"(7, 6)",1,1,1,1
"(8, 6)",1,1,1,0
"(9, 6)",1,1,0,1
"(10, 6)",0,0,1,0
"(11, 6)",1,1,0,0
"(12, 6)",1,1,0,1
"(13, 6)",1,0,1,1
"(14, 6)",0,0,1,1
"(15, 6)",1,1,1,0
"(16, 6)",1,1,0,0
"(17, 6)",0,1,0,1
"(18, 6)",1,0,1,1
"(19, 6)",1,1,1,0
"(20, 6)",1,1,0,0
"(1, 7)",1,1,0,0
"(2, 7)",1,1,0,0
"(3, 7)",0,1,0,1
"(4, 7)",1,1,1,1
"(5, 7)",1,0,1,1
"(6, 7)",1,0,1,0
"(7, 7)",1,1,0,0
"(8, 7)",0,1,0,1
"(9, 7)",1,1,1,1
"(10, 7)",1,0,1,1
"(11, 7)",1,1,1,0
"(12, 7)",1,1,0,0
"(13, 7)",1,1,0,1
"(14, 7)",0,0,1,1
"(15, 7)",1,1,1,1
"(16, 7)",1,1,1,0
"(17, 7)",1,0,0,1
"(18, 7)",0,1,1,0
"(19, 7)",1,1,0,1
"(20, 7)",1,1,1,0
"(1, 8)",1,1,0,1
"(2, 8)",1,1,1,1
"(3, 8)",0,0,1,1
"(4, 8)",1,1,1,0
"(5, 8)",1,1,0,0
"(6, 8)",0,1,0,1
"(7, 8)",1,1,1,1
"(8, 8)",1,0,1,1
"(9, 8)",0,1,1,0
"(10, 8)",1,1,0,0
"(11, 8)",1,1,0,1
"(12, 8)",0,1,1,1
"(13, 8)",1,1,1,1
"(14, 8)",1,0,1,1
"(15, 8)",1,1,1,0
"(16, 8)",1,1,0,1
"(17, 8)",1,1,1,1
"(18, 8)",0,0,1,1
"(19, 8)",1,1,1,0
"(20, 8)",1,1,0,0
"(1, 9)",1,1,0,0
"(2, 9)",1,1,0,1
"(3, 9)",0,0,1,1
"(4, 9)",0,1,1,1
"(5, 9)",1,1,1,1
"(6, 9)",0,0,1,1
"(7, 9)",1,1,1,0
"(8, 9)",1,1,0,0
"(9, 9)",1,0,0,1
"(10, 9)",1,1,1,0
"(11, 9)",1,1,0,1
"(12, 9)",0,0,1,1
"(13, 9)",1,1,1,0
"(14, 9)",1,1,0,0
"(15, 9)",1,1,0,1
"(16, 9)",1,1,1,0
"(17, 9)",1,1,0,1
"(18, 9)",1,0,1,0
"(19, 9)",1,1,0,1
"(20, 9)",0,1,1,0
"(1, 10)",1,1,0,1
"(2, 10)",0,1,1,1
"(3, 10)",1,0,1,0
"(4, 10)",1,0,0,1
"(5, 10)",0,1,1,1
"(6, 10)",1,0,1,1
"(7, 10)",1,1,1,1
"(8, 10)",0,1,1,1
"(9, 10)",1,1,1,0
"(10, 10)",1,1,0,1
"(11, 10)",1,1,1,1
"(12, 10)",0,0,1,1
"(13, 10)",0,1,1,1
"(14, 10)",1,1,1,1
"(15, 10)",0,1,1,0
"(16, 10)",0,1,0,1
"(17, 10)",1,1,1,0
"(18, 10)",1,1,0,1
"(19, 10)",1,1,1,1
"(20, 10)",1,0,1,0
"(1, 11)",1,1,0,1
"(2, 11)",1,0,1,1
"(3, 11)",0,1,1,1
"(4, 11)",1,1,1,1
"(5, 11)",1,0,1,0
"(6, 11)",1,1,0,0
"(7, 11)",1,1,0,1
"(8, 11)",1,0,1,1
"(9, 11)",1,1,1,1
"(10, 11)",0,1,1,0
"(11, 11)",1,1,0,1
"(12, 11)",1,0,1,1
"(13, 11)",1,0,1,1
"(14, 11)",0,1,1,1
"(15, 11)",0,0,1,1
"(16, 11)",1,0,1,1
"(17, 11)",0,1,1,1
"(18, 11)",1,1,1,0
"(19, 11)",1,1,0,0
"(20, 11)",1,1,0,0
"(1, 12)",1,1,0,0
"(2, 12)",1,1,0,1
"(3, 12)",0,0,1,1
"(4, 12)",1,1,1,0
"(5, 12)",1,1,0,1
"(6, 12)",1,1,1,1
"(7, 12)",0,1,1,0
"(8, 12)",1,1,0,0
"(9, 12)",1,1,0,1
"(10, 12)",1,0,1,0
"(11, 12)",1,1,0,0
"(12, 12)",1,1,0,0
"(13, 12)",1,1,0,1
"(14, 12)",1,0,1,1
"(15, 12)",1,0,1,1
"(16, 12)",0,1,1,1
"(17, 12)",1,0,1,1
"(18, 12)",0,1,1,1
"(19, 12)",1,1,1,0
"(20, 12)",1,1,0,0
"(1, 13)",1,1,0,0
"(2, 13)",0,1,0,1
"(3, 13)",1,0,1,0
"(4, 13)",1,1,0,1
"(5, 13)",1,1,1,0
"(6, 13)",0,1,0,1
"(7, 13)",1,0,1,1
"(8, 13)",0,1,1,1
"(9, 13)",1,1,1,0
"(10, 13)",1,1,0,1
"(11, 13)",1,1,1,0
"(12, 13)",1,1,0,1
"(13, 13)",1,1,1,0
"(14, 13)",1,1,0,0
"(15, 13)",0,1,0,1
"(16, 13)",1,0,1,0
"(17, 13)",1,1,0,1
"(18, 13)",1,0,1,1
"(19, 13)",0,1,1,1
"(20, 13)",1,1,1,0
"(1, 14)",1,1,0,1
"(2, 14)",1,0,1,1
"(3, 14)",0,1,1,1
"(4, 14)",1,1,1,0
"(5, 14)",1,1,0,0
"(6, 14)",1,0,0,0
"(7, 14)",1,1,0,1
"(8, 14)",1,0,1,1
"(9, 14)",1,1,1,1
"(10, 14)",1,1,1,0
"(11, 14)",0,1,0,1
"(12, 14)",1,1,1,0
"(13, 14)",1,1,0,1
"(14, 14)",1,1,1,1
"(15, 14)",1,0,1,1
"(16, 14)",0,1,1,1
"(17, 14)",1,1,1,0
"(18, 14)",1,1,0,1
"(19, 14)",0,0,1,1
"(20, 14)",1,1,1,0
"(1, 15)",1,1,0,0
"(2, 15)",0,1,0,1
"(3, 15)",1,0,1,1
"(4, 15)",0,1,1,1
"(5, 15)",1,1,1,0
"(6, 15)",1,1,0,1
"(7, 15)",1,1,1,0
"(8, 15)",1,1,0,0
"(9, 15)",0,1,0,0
"(10, 15)",1,1,0,1
"(11, 15)",1,0,1,1
"(12, 15)",1,1,1,1
"(13, 15)",0,1,1,0
"(14, 15)",1,1,0,0
"(15, 15)",1,1,0,1
"(16, 15)",0,0,1,1
"(17, 15)",1,1,1,0
"(18, 15)",1,1,0,0
"(19, 15)",1,0,0,1
"(20, 15)",1,1,1,0
"(1, 16)",1,1,0,1
"(2, 16)",0,0,1,1
"(3, 16)",0,1,1,1
"(4, 16)",1,0,1,1
"(5, 16)",0,1,1,1
"(6, 16)",1,1,1,0
"(7, 16)",1,1,0,0
"(8, 16)",1,1,0,1
"(9, 16)",1,0,1,1
"(10, 16)",0,1,1,0
"(11, 16)",1,1,0,0
"(12, 16)",1,1,0,1
"(13, 16)",0,0,1,1
"(14, 16)",1,1,1,1
"(15, 16)",0,1,1,1
"(16, 16)",1,0,1,1
"(17, 16)",1,1,1,1
"(18, 16)",0,1,1,1
"(19, 16)",1,1,1,0
"(20, 16)",1,1,0,0
"(1, 17)",1,1,0,1
"(2, 17)",0,0,1,1
"(3, 17)",0,0,1,1
"(4, 17)",1,1,1,0
"(5, 17)",1,0,0,1
"(6, 17)",1,1,1,0
"(7, 17)",1,1,0,1
"(8, 17)",0,1,1,0
"(9, 17)",1,1,0,1
"(10, 17)",0,0,1,1
"(11, 17)",1,1,1,1
"(12, 17)",1,1,1,1
"(13, 17)",1,0,1,1
"(14, 17)",0,1,1,1
"(15, 17)",1,0,1,1
"(16, 17)",1,1,1,0
"(17, 17)",1,1,0,0
"(18, 17)",1,0,0,1
"(19, 17)",0,1,1,1
"(20, 17)",1,1,1,0
"(1, 18)",1,1,0,1
"(2, 18)",0,0,1,1
"(3, 18)",1,0,1,1
"(4, 18)",0,1,1,1
"(5, 18)",1,1,1,0
"(6, 18)",1,1,0,1
"(7, 18)",0,1,1,1
"(8, 18)",1,0,1,1
"(9, 18)",1,1,1,1
"(10, 18)",0,0,1,1
"(11, 18)",1,1,1,0
"(12, 18)",1,1,0,0
"(13, 18)",1,1,0,1
"(14, 18)",0,0,1,1
"(15, 18)",1,1,1,0
"(16, 18)",1,1,0,1
"(17, 18)",0,1,1,1
"(18, 18)",1,1,1,0
"(19, 18)",1,0,0,1
"(20, 18)",0,1,1,0
"(1, 19)",1,1,0,1
"(2, 19)",1,0,1,0
"(3, 19)",1,1,0,0
"(4, 19)",1,0,0,1
"(5, 19)",1,1,1,1
"(6, 19)",0,1,1,1
"(7, 19)",1,0,1,0
"(8, 19)",1,1,0,0
"(9, 19)",1,1,0,0
"(10, 19)",1,0,0,1
"(11, 19)",1,1,1,0
"(12, 19)",1,1,0,0
"(13, 19)",1,1,0,1
"(14, 19)",0,0,1,1
"(15, 19)",0,1,1,1
"(16, 19)",1,1,1,1
"(17, 19)",0,0,1,1
"(18, 19)",1,1,1,0
"(19, 19)",1,1,0,1
"(20, 19)",1,0,1,0
"(1, 20)",1,1,0,0
"(2, 20)",0,1,0,1
"(3, 20)",0,1,1,1
"(4, 20)",1,1,1,0
"(5, 20)",0,1,0,1
"(6, 20)",1,0,1,1
"(7, 20)",0,1,1,1
"(8, 20)",1,1,1,0
"(9, 20)",1,1,0,1
"(10, 20)",1,1,1,0
"(11, 20)",1,1,0,1
"(12, 20)",0,1,1,1
"(13, 20)",1,1,1,1
"(14, 20)",1,0,1,0
"(15, 20)",1,0,0,0
"(16, 20)",0,1,0,1
"(17, 20)",1,0,1,0
"(18, 20)",1,1,0,1
"(19, 20)",1,1,1,0
"(20, 20)",1,1,0,0
"(1, 21)",1,1,0,0
"(2, 21)",1,0,0,1
"(3, 21)",0,0,1,1
"(4, 21)",0,1,1,1
"(5, 21)",1,0,1,1
"(6, 21)",1,1,1,1
"(7, 21)",0,0,1,1
"(8, 21)",0,1,1,1
"(9, 21)",1,1,1,0
"(10, 21)",1,1,0,1
"(11, 21)",0,1,1,1
"(12, 21)",1,0,1,1
"(13, 21)",0,1,1,0
"(14, 21)",1,1,0,1
"(15, 21)",1,1,1,1
"(16, 21)",1,0,1,1
"(17, 21)",1,1,1,1
"(18, 21)",0,1,1,0
"(19, 21)",1,1,0,1
"(20, 21)",1,1,1,0
"(1, 22)",1,1,0,1
"(2, 22)",0,1,1,1
"(3, 22)",1,0,1,0
"(4, 22)",1,0,0,1
"(5, 22)",0,1,1,0
"(6, 22)",0,1,0,1
"(7, 22)",1,0,1,1
"(8, 22)",0,0,1,1
"(9, 22)",1,1,1,1
"(10, 22)",0,1,1,1
"(11, 22)",1,0,1,1
"(12, 22)",0,1,1,1
"(13, 22)",1,0,1,1
"(14, 22)",1,1,1,0
"(15, 22)",1,1,0,0
"(16, 22)",1,1,0,0
"(17, 22)",1,1,0,1
"(18, 22)",1,0,1,1
"(19, 22)",1,1,1,0
"(20, 22)",1,1,0,0
"(1, 23)",0,1,0,1
"(2, 23)",1,0,1,1
"(3, 23)",0,1,1,1
"(4, 23)",1,1,1,1
"(5, 23)",1,0,1,0
"(6, 23)",1,0,0,1
"(7, 23)",0,1,1,1
"(8, 23)",1,0,1,0
"(9, 23)",1,1,0,1
"(10, 23)",0,0,1,1
"(11, 23)",1,1,1,0
"(12, 23)",1,0,0,1
"(13, 23)",1,1,1,0
"(14, 23)",0,1,0,1
"(15, 23)",0,1,1,1
"(16, 23)",1,1,1,0
"(17, 23)",1,1,0,0
"(18, 23)",1,1,0,0
"(19, 23)",1,1,0,1
"(20, 23)",1,1,1,0
"(1, 24)",1,0,0,1
"(2, 24)",1,1,1,1
"(3, 24)",0,0,1,1
"(4, 24)",1,1,1,0
"(5, 24)",1,1,0,1
"(6, 24)",0,1,1,1
"(7, 24)",1,0,1,1
"(8, 24)",1,1,1,0
"(9, 24)",1,1,0,1
"(10, 24)",0,0,1,1
"(11, 24)",0,1,1,1
"(12, 24)",1,1,1,0
"(13, 24)",0,1,0,1
"(14, 24)",1,0,1,0
"(15, 24)",1,0,0,1
"(16, 24)",0,1,1,1
"(17, 24)",1,1,1,0
"(18, 24)",1,1,0,1
"(19, 24)",1,1,1,0
"(20, 24)",1,1,0,0
"(1, 25)",1,1,0,0
"(2, 25)",1,1,0,1
"(3, 25)",1,0,1,1
"(4, 25)",0,1,1,1
"(5, 25)",1,1,1,1
"(6, 25)",0,0,1,1
"(7, 25)",1,1,1,0
"(8, 25)",0,1,0,1
"(9, 25)",0,1,1,1
"(10, 25)",1,0,1,1
"(11, 25)",1,0,1,0
"(12, 25)",1,1,0,1
"(13, 25)",1,0,1,1
"(14, 25)",0,1,1,1
"(15, 25)",1,1,1,1
"(16, 25)",1,0,1,1
"(17, 25)",0,1,1,1
"(18, 25)",1,1,1,0
"(19, 25)",1,1,0,0
"(20, 25)",1,1,0,0
"(1, 26)",1,1,0,0
"(2, 26)",1,1,0,0
"(3, 26)",1,1,0,1
"(4, 26)",0,0,1,1
"(5, 26)",0,1,1,1
"(6, 26)",1,0,1,1
"(7, 26)",0,1,1,1
"(8, 26)",1,0,1,1
"(9, 26)",0,0,1,1
"(10, 26)",1,1,1,0
"(11, 26)",0,1,0,1
"(12, 26)",1,1,1,0
"(13, 26)",1,1,0,1
"(14, 26)",1,0,1,0
"(15, 26)",1,1,0,0
"(16, 26)",1,1,0,1
"(17, 26)",1,0,1,1
"(18, 26)",1,1,1,0
"(19, 26)",1,1,0,1
"(20, 26)",1,1,1,0
"(1, 27)",1,1,0,1
"(2, 27)",1,1,1,1
"(3, 27)",1,1,1,1
"(4, 27)",0,0,1,1
"(5, 27)",0,0,1,1
"(6, 27)",1,1,1,1
"(7, 27)",0,0,1,1
"(8, 27)",0,1,1,1
"(9, 27)",1,0,1,0
"(10, 27)",1,1,0,1
"(11, 27)",0,0,1,1
"(12, 27)",1,1,1,1
"(13, 27)",1,1,1,0
"(14, 27)",0,1,0,1
"(15, 27)",1,1,1,0
"(16, 27)",1,1,0,0
"(17, 27)",1,1,0,0
"(18, 27)",1,1,0,0
"(19, 27)",1,1,0,0
"(20, 27)",1,1,0,0
"(1, 28)",1,1,0,0
"(2, 28)",1,1,0,0
"(3, 28)",0,1,0,1
"(4, 28)",1,0,1,1
"(5, 28)",1,0,1,1
"(6, 28)",0,1,1,1
"(7, 28)",0,0,1,1
"(8, 28)",1,0,1,1
"(9, 28)",0,1,1,1
"(10, 28)",1,1,1,1
"(11, 28)",1,0,1,0
"(12, 28)",1,1,0,0
"(13, 28)",0,1,0,1
"(14, 28)",0,0,1,1
"(15, 28)",1,1,1,1
"(16, 28)",1,1,1,1
"(17, 28)",1,1,1,0
"(18, 28)",1,1,0,1
"(19, 28)",1,1,1,1
"(20, 28)",0,1,1,0
"(1, 29)",1,1,0,0
"(2, 29)",1,1,0,0
"(3, 29)",1,0,0,1
"(4, 29)",1,1,1,0
"(5, 29)",1,1,0,1
"(6, 29)",1,0,1,1
"(7, 29)",0,0,1,1
"(8, 29)",1,1,1,0
"(9, 29)",1,0,0,1
"(10, 29)",1,1,1,0
"(11, 29)",0,1,0,1
"(12, 29)",1,1,1,0
"(13, 29)",1,0,0,1
"(14, 29)",1,0,1,0
"(15, 29)",1,1,0,0
"(16, 29)",1,1,0,0
"(17, 29)",1,1,0,1
"(18, 29)",0,1,1,0
"(19, 29)",0,1,0,1
"(20, 29)",1,0,1,0
"(1, 30)",0,1,0,1
"(2, 30)",0,1,1,1
"(3, 30)",0,1,1,0
"(4, 30)",0,1,0,1
"(5, 30)",0,1,1,0
"(6, 30)",0,1,0,1
"(7, 30)",0,0,1,1
"(8, 30)",0,1,1,1
"(9, 30)",0,1,1,0
"(10, 30)",0,1,0,1
"(11, 30)",0,0,1,1
"(12, 30)",0,1,1,1
"(13, 30)",0,1,1,0
"(14, 30)",0,1,0,1
"(15, 30)",0,1,1,1
"(16, 30)",0,1,1,1
"(17, 30)",0,1,1,1
"(18, 30)",0,0,1,1
"(19, 30)",0,0,1,1
"(20, 30)",0,1,1,0
